text,label
"[Intro] Keepin' it jiggy Bogle, John, Sadiki! 2004, it's gonna be jiggy!  [Hook] What a Weddi, Weddi, Weddi, Weddi (March out! March out!) Weddi, Weddi, Weddi, Weddi Weddi, Weddi, Weddi, Weddi (March out! March out!) Weddi, Weddi, Weddi A Weddi, Weddi, Weddi, Weddi (March out! March out!) Weddi, Weddi, Weddi, Weddi Weddi, Weddi, Weddi, Weddi (Dancers, march out!) Weddi, Weddi, Weddi A Weddi, Weddi, Weddi, Weddi (Look outta road! Look outta road!) Weddi, Weddi, Weddi, Weddi Weddi, Weddi, Weddi, Weddi (Look outta road! Look outta road!) Weddi, Weddi, Weddi A Weddi, Weddi, Weddi, Weddi (Iverson Bounce! Iverson Bounce!) Weddi, Weddi, Weddi, Weddi Weddi, Weddi, Weddi, Weddi (Iverson Bounce! Iverson Bounce!) Weddi, Weddi, Weddi [Verse 1] When dem see the war like 2Pac and Biggy Dance we a dance and keeping it jiggy Da tune yah remind me of the beat of the Giggy Dance we a dance and keeping it jiggy Big up the legendary Bob! Wha' happen to him son, Ziggy? Dance we a dance and keeping it jiggy Nadine Sutherland, send her go call Twiggy Dance she a dance and keeping it jiggy Bubbler a do it, and favor Ms. Piggy Dance she a dance and keeping it jiggy Outta Asylum me see Bogle and Ribby Dance dem a dance and keeping it jiggy Don can't do it, not even mention Diggy Dance dem a dance and keeping it jiggy Mad Michelle, Stacy, none of dem anuh dibby dibby (No!) Dance dem a dance and keeping it jiggy Give dem a slide tackle like Whitmore and Bibby Dance we a dance and keeping it jiggy Big up Jungle, Tivoli, Ensome City Dance we a dance and keeping it jiggy Me see 106 & Park, and Rock City AJ and Free, dem a keep it jiggy Sadiki a do it from him deh pon him mother titty And him still a dance... [Hook] What a Weddi, Weddi, Weddi, Weddi Weddi, Weddi, Weddi, Weddi Weddi, Weddi, Weddi, Weddi (Alright! Alright!) Weddi, Weddi, Weddi A Weddi, Weddi, Weddi, Weddi (Alright! Alright!) Weddi, Weddi, Weddi, Weddi (Say, when you're ready!) Weddi, Weddi, Weddi, Weddi (Say, when you're ready!) Weddi, Weddi, Weddi A Weddi, Weddi, Weddi, Weddi (Mad march! Mad march!) Weddi, Weddi, Weddi, Weddi Weddi, Weddi, Weddi, Weddi (Mad march! Mad march!) Weddi, Weddi, Weddi A Weddi, Weddi, Weddi, Weddi (Alright! Alright!) Weddi, Weddi, Weddi, Weddi Weddi, Weddi, Weddi, Weddi (Alright! Alright!) Weddi, Weddi, Weddi  [Verse 2] Police a come fi lock off we dance, we nuh loud Everybody, do the dance named, 'Look Outta Road' Me hear dem a beat man out deh with board Everybody inna the dance, Look Outta Road Record draw 'way, Screechie Joe - Old Ford Everybody inna the dance, Look - Look Outta Road! Look Outta Road! Everybody! Look Outta Road! Look Outta Road! Alright! Everybody make way, John Hype a come Shelly Belly and Ryan with the 'Iverson Bounce' High Risen Bump, mix it with the 'Mad Run' High Risen Bump, from you waan gyal over gun High Risen Bump, do so with your hand dem a ground Throw a three pointer from a Santa Boom, Santa Boom Ding Dong! Santa Boom, Santa Boom Alright! From the other day, dancing a get nice Who response? John, Bogle, and all Ice Taking the dancing to a higher heights Dancers a dance, right back to the elite Gyal, from you know you're bleaching, fix your rights Every gyal inna the dance fi a do - Do, Sunlight! Do, Sunlight! Mi gyal! Do, Sunlight! Dance the Sunlight dance then, hey! Ready fi take it to dem, unuh give me likkle room We a dance from July go back 'til June Use your two hand like you a circle the moon Everybody inna the dance, start do 'Flowers A Bloom' Flowers A Bloom, watch the video man dem a zoom Flowers A Bloom, then clap your hands Flowers A Bloom! Flowers A Bloom! Everybody! Flowers A Bloom! Flowers A Bloom! Alright! Every dancer, clasp your hands and 'Pray' Pray to the Father fi see another day Cut and clear the the evil from out of your way Everybody inna the dance, make me see you start Pray Start Pray from you know you waan see another day Start Pray, then clasp your hands Prayer a day! Prayer a day! Dancers! Prayer a day! Pr",pop
"[Intro: Timbaland] Frk-frk-down Hey You don't mean nothin' at all to me Hey, hey  [Verse 1: Nelly Furtado] In the day, in the night Say it right, say it all You either got it, or you don't You either stand, or you fall When your will is broken When it slips from your hand When there's no time for jokin' There's a hole in the plan  [Chorus: Nelly Furtado & (Timbaland)] Oh, you don't mean nothing at all to me (Hey, oh, oh, hey) No, you don't mean nothing at all to me (Hey, oh, oh, hey) But you got what it takes to set me free (Hey, oh, oh, hey) Oh, you could mean everything to me (Hey, oh, oh, hey) [Verse 2: Nelly Furtado] I can't say (Say) that I'm not (Not) Lost (Lost) and at fault (Fault) I can't say (Say) that I don't (Don't) Love the light (Love) and the dark I can't say that I don't (Don't) Know that I am alive And all of what I feel (Feel) I could show (Show you) you tonight, you tonight  [Chorus: Nelly Furtado & (Timbaland)] Oh, you don't mean nothing at all to me (Hey, oh, oh, hey) No, you don't mean nothing at all to me (Hey, oh, oh, hey) But you got what it takes to set me free (Hey, oh, oh, hey) Oh, you could mean everything to me (Hey, oh, oh, hey)  [Verse 3: Nelly Furtado] From my hands I could give you Something that I made From my mouth, I could sing you another brick that I laid From my body (From my body), I could show you (I could show you) A place (A place) God knows (That only God knows) You should know the space is holy (Ah-ah-ah-ah) Do you really wanna go? (Three, four) [Outro: Timbaland] Hey, hey, hey You don't mean nothin' at all to me Hey, hey Hey, hey, hey You don't mean nothin' at all to me Hey, hey",rb
"[Chorus: Smokey Robinson sample] If only you could let me in I know that love it would begin If only I could rap to you I know this love would capture you, yeah Don't you wanna ride? Don't you wanna ride? Don't you wanna ride? Don't you wanna ride?  [Intro] Killa! Uhh, this the ghetto soap opera right here, man You from Harlem you already know You on that hustler's mission; you trying to get that paper Wifey like it one minute next minute she don't, man You know they at home watching Lifetime or on the Internet But you gotta do you, I got it  [Verse 1] Uhh, yo my mommy Toy was my pride and joy She would drive the toys, plus ride the boy To supply the boys I got it live from Croix Yes a nine in boy, wore a five in boys Over the chick shit I shoot five with Roy Now I load the 4-5, shoot five at Roy Ain't like my job or guys I employ Lifestyle I enjoy but I'm the livest doy (doy) A hustler and Cam famous, you damn anus I don't know but I can't change it Can't paint it; pop it, champagne it Stop it, car: drop it - it look dull, damn, paint it She would throw a pout how I'm showing out How I'm outgoing but don't be going out It's things to know about when you got dough and clout Ways to move, know the route, ""Baby girl, close your mouth"" Cause I feed you well, every sneaker, hell You eat Louie, shit Gucci, breathe Chanel Karl Lagerfeld acting like Gargamel For the car cop the cell in the bar stop at hell ""What's wrong with you?"" She said, ""what's wrong with you?"" Always got a song to do can't get along it's true So I skipped marriage, bought her six karats Rather die that nigga than to live average, Killa (Killa) [Chorus: Smokey Robinson sample] If only you could let me in I know that love it would begin If only I could rap to you I know this love would capture you, yeah Don't you wanna ride? Don't you wanna ride? Don't you wanna ride? Don't you wanna ride?  [Verse 2] Yo, yo, uhh... Looking back on school: art and crafts Fucked half the staff, beat up half the class I was like Dr. Dre, though, I have to laugh Nigga with a attitude, meet me after math Had a ""half and half"" Not a drink -- two chicks that flip acid fast The half a tab You could ask her ass, I would dash and laugh You after me, huh? I'm after cash I'm on I-80 though with my baby Whole ride hazy tell her don't drive crazy I got plans for you look in the sky baby Fuck Sara Lee, Mrs. Smith; you the pie lady Fly lady, G2 fly baby, gee you why baby Please boo, what's your size crazy Don Juaning when I'm in a foreign Almond drop top, my charm is alarming I was alerting her just to reinsert in her That I will leave earth with her Huh, I can't interpret her She got mad I leaned over, I'm nursing her Said when I do dirt with her The only time I flirt with her Not to be V.I but this is B.I (B.I) Me and G.I be watched by the P.I's See why we can't finish together I'd rather do business than pleasure And that's real (Killa) [Chorus: Smokey Robinson sample] If only you could let me in I know that love it would begin If only I could rap to you I know this love would capture you, yeah Don't you wanna ride? Don't you wanna ride? Don't you wanna ride? Don't you wanna ride?",rap
"[Intro] Yooooooow Up inna di club we gone again Yeah  [Verse 1] Hair well plat Gyal dem fat Gwan bad when the tune dem drop One just drop and buss her head back When Street Vybz buss up inna hear head top  [Hook] Oh God Party mad Gyal dem a say, Gaza party bad Gyal dash 'way like crab outta bag Zamunda gone with 41 High grade a crush out inna hand Me nuh waan see no man 'par with 40 man Gyal inna di club, we dem a party pon Dem say the Worl Boss, him a the party Don Gyal dem Love how mi pants dem straight so Dem love how the Clarks dem lace up And Hotskull nuh take bait up Hey bwoy, me a tell you this straight up, say... [Chorus] Me nuh beg people inna the raving If a even fi spend off mi savings Me nuh know when me a go inna the grave in So right now, me raving And Everybody jump, it's a a play ting Happy like pickney pon weekend Me nuh know when me a go inna the grave in So right now, me raving  [Verse 2] Lord, right now me frass Me a press gas A right pon the toll, me all nearly crash Oh gosh, Street Vybz hash Tommy Lee's glass just drop and mash Mi say  [Hook] Oh God Party mad Gyal dem a say, Gaza party bad Gyal dash 'way like crab outta bag Zamundam gone with 41 High grade a crush out inna hand Me nuh waan see no man 'par with 40 man Gyal inna di club, we dem a party pon Dem say the Worl Boss, him a the party Don Gyal dem Love how mi pants dem straight so Dem love how the Clarks dem lace up And Hotskull nuh take bait up Hey bwoy, me a tell you this straight up, say... [Chorus] Me nuh beg people inna the raving If a even fi spend off mi savings Me nuh know when me a go inna the grave in So right now, me raving And Everybody jump, it's a a play ting Happy like pickney pon weekend Me nuh know when me a go inna the grave in So right now, me raving  [Verse 1] Hair well plat Gyal dem fat Gwan bad when the tune dem drop One just drop and buss her head back When Street Vybz buss up inna hear head top  [Hook] Oh God Party mad Gyal dem a say, Gaza party bad Gyal dash 'way like crab outta bag Zamundam gone with 41 High grade a crush out inna hand Me nuh waan see no man 'par with 40 man Gyal inna di club, we dem a party pon Dem say the Worl Boss, him a the party Don Gyal dem Love how mi pants dem straight so Dem love how the Clarks dem lace up And Hotskull nuh take bait up Hey bwoy, me a tell you this straight up, say... [Chorus] Me nuh beg people inna the raving If a even fi spend off mi savings Me nuh know when me a go inna the grave in So right now, me raving And Everybody jump, it's a a play ting Happy like pickney pon weekend Me nuh know when me a go inna the grave in So right now, me raving",pop
"[Verse 1] My eyes have once again been proven wrong Your clouds, your blanket and my pity song Hovering on your front lawn Carry on until it's gone  [Chorus] What can I do? The river is overrun We're swimming in a flood, you know? I thought I felt your touch But the water is rising up  [Verse 2] Then I lie naked in a rampage In the flesh, face to face with the onset I forget everything that's ever made me rise again Now slowly leave my memory  [Chorus] What can I do? The river is overrun We're swimming in a flood, you know? I thought I felt your touch But the water is rising up Now all my lovers raise their cups [Chorus] What can I do? The river is overrun We're swimming in a flood, you know? I thought I felt your touch But the water is rising up Now all my lovers raise their cups",rock
"[Segue from ""Steve Berman (Skit)""] ...Man, whatever  [Intro] Dre, just let it run Ayo, turn the beat up a little bit Ayo This song is for anyone Fuck it, shut up and listen Ayo  [Verse 1] I sit back with this pack of Zig-Zag's and this bag Of this weed, it gives me the shit needed to be The most meanest MC on this, on this Earth And since birth I've been cursed with this curse to just curse And just blurt this berserk and bizarre shit that works And it sells and it helps in itself to relieve All this tension, dispensin' these sentences Gettin' this stress that's been eatin' me recently off Of this chest and I rest again peacefully (Peacefully) But at least have the decency in you To leave me alone, when you freaks see me out In the streets when I'm eatin' or feedin' my daughter To not come and speak to me (Speak to me), I don't know you And no, I don't owe you a motherfuckin' thing I'm not Mr. N'Sync, I'm not what your friends think I'm not Mr. Friendly, I can be a prick If you tempt me, my tank is on empty (Is on empty) No patience is in me and if you offend me I'm liftin' you ten feet (Liftin' you ten feet) in the air I don't care who was there and who saw me just jaw you Go call you a lawyer, file you a lawsuit I'll smile in the courtroom and buy you a wardrobe I'm tired of all you (Of all you), I don't mean to be mean But that's all I can be, it's just me [Chorus] And I am whatever you say I am If I wasn't, then why would I say I am? In the paper, the news, every day I am Radio won't even play my jam 'Cause I am whatever you say I am If I wasn't, then why would I say I am? In the paper, the news, every day I am I don't know, that's just the way I am  [Verse 2] Sometimes I just feel like my father, I hate to be bothered With all of this nonsense, it's constant And, ""Oh, it's his lyrical content The song 'Guilty Conscience' has gotten such rotten responses."" And all of this controversy circles me And it seems like the media immediately Points a finger at me (Finger at me) So I point one back at 'em, but not the index or pinkie Or the ring or the thumb, it's the one you put up When you don't give a fuck, when you won't just put up With the bullshit they pull, 'cause they full of shit too When a dude's gettin' bullied and shoots up his school And they blame it on Marilyn (On Marilyn) and the heroin Where were the parents at? And look where it's at! Middle America, now it's a tragedy Now it's so sad to see, an upper-class city Havin' this happenin' (This happenin') then attack Eminem 'cause I rap this way (Rap this way) but I'm glad 'Cause they feed me the fuel that I need for the fire to burn And it's burnin', and I have returned [Chorus] And I am whatever you say I am If I wasn't, then why would I say I am? In the paper, the news, every day I am Radio won't even play my jam 'Cause I am whatever you say I am If I wasn't, then why would I say I am? In the paper, the news, every day I am I don't know, that's just the way I am  [Verse 3] I'm so sick and tired of bein' admired That I wish that I would just die or get fired And dropped from my label, let's stop with the fables I'm not gonna be able to top a ""My Name Is"" And pigeon-holed into some poppy sensation To cop me rotation at rock 'n' roll stations And I just do not got the patience (Got the patience) To deal with these cocky Caucasians Who think I'm some wigger who just tries to be black 'cause I talk With an accent and grab on my balls so they always Keep askin' the same fuckin' questions (Fuckin' questions) What school did I go to, what hood I grew up in The why, the who, what, when, the where and the how 'Til I'm grabbin' my hair and I'm tearin' it out 'Cause they drivin' me crazy (Drivin' me crazy), I can't take it I'm racin', I'm pacin', I stand and I sit And I'm thankful for every fan that I get But I can't take a shit in the bathroom without Someone standin' by it! (Standin' by it) No, I won't sign your autograph You can call me an asshole, I'm glad [Chorus] 'Cause ",rap
"[Hook] Just another day out in sunny LA There's dealers in the streets and the coppers don't play Got my 501 jeans, my crew neck sweater Saggin' in my pants cuz I don't know better In any weather we stay the flyest Killas on my side case u suckas wanna try us Numbers in my phone, I'm so player Feelin' so good I think I might run for mayor  I might run for mayor Nigga ask your momma I'm a muthafuckin' player If I see your girlfriend starin', I'm a take her That's word to my cousin up in Oakland with the scraper 501 jeans yeah that's my flavor Crew neck sweaters in the club, fuck a blazer Button up under case the bouncer is a hater Straight to the bar for a couple shots of jaeger If I see a nice thin light skin I'm a game her Tell her I'm big Mibbs and I'm runnin' for mayor She digs my speeds and guess where I'm a take her Back to the crib where I can blaze her Modern Joe Frazier second round knock out When I pull the cock out, baby see you later I think around 8 or 9 I'm a wake her up Kick her out, then go pick up my paper [Hook]  I might run for mayor Cruise through the city in a booger green pacer Got ya girl wit me, I'm so player Pullin' hoes since Bo Jackson was a Raider Everything's tailored, from the Chuck Taylor's Check the steering wheel in my car, that's gator Sip liquor straight, I don't need chasers Drink a pint of hen, I'm cursin' like a sailor I'm so major, sit back and watch me Bought my 501's and my sweater from the swap meet Music up loud, coppers wanna stop me Mad cuz I'm young black makin' that broccoli Hangin' wit the possie, niggas wanna copy But I'm too fly so the squares can't jock me Watch how they jock me, I'm so player Feelin' so good I think I might run for mayor  [Hook]  Yeah I might run for mayor I'm scandalous with the papers LA county, the planet of the gangsters Get ya cameras and tapers Ya boy hustle hard like Rambis for the Lakers Riding by zoom but we boom wit the base muffle Fly as a space shuttle, cool as a rain puddle Who wanna make trouble Pimp hand heavy no half stepping Like old school Daddy Kane for ya Its a shame on you, what you lames gone do You's a bitch, we make it rain on you Yea the dames come through We decked out with hoes, draw circles around tens Then ex out the O's, boy check out my pose Stan Smith classic fresh out the grove Look who crept out the stove Keep a bad one like she fresh out the Vouge Then we go shopping like we fresh out the clothes Gimme that, shopping bags, popping tags, I'm a smash From the side of the tracks, where the homies talk trash You can only sight see if you got a pass, the mayor [Hook]  I might run for mayor  Feelin' so good I think I might run for mayor",rap
"[Verse 1: JAY-Z] First the Fat Boys break up, now every day I wake up Somebody got a problem with Hov What's up? Y'all niggas all fed up 'cause I got a little cheddar And my record's movin' out the store? Young fucks spittin' at me, young rappers gettin' at me My nigga Big predicted this shit exactly ""Mo' Money, Mo' Problems,"" gotta move carefully 'Cause faggots hate when you gettin' money like athletes Youngins ice-grillin' me, oh, you not feelin' me? Fine, it cost you nothin', pay me no mind Look, I'm on my grind, cousin, ain't got time for frontin' Sensitive thugs, y'all all need hugs Damn, little mans, I'm just tryna do me If the record's two mil', I'm just tryna move three Get a couple chicks, get 'em to try to do E Hopefully they'll ménage before I reach my garage I don't want much, fuck, I drove every car Some nice cooked food, some nice clean drawers Bird-ass niggas, I don't mean to ruffle y'all I know you waitin' in the wing, but I'm doin' my thing Where's the love? [Chorus: Bobby Bland & JAY-Z] Ain't no love in the heart of the city I said where's the love? Ain't no love in the heart of town (Yeah)  [Verse 2: JAY-Z] And then the Fugees gon' break up, now every day I wake up Somebody got somethin' to say What's all the fuckin' fussin' for? Because I'm grubbin' more? And I pack heat like I'm the oven door? Niggas pray and pray on my downfall But every time I hit the ground, I bounce up like roundball Now, I don't wanna have to kill soundboys Don't wanna have to cock back the four-pound bar Look, scrapper, I got nephews to look after I'm not lookin' at you dudes, I'm lookin' past ya I thought I told you characters I'm not a rapper Can I live? I told you '96 that I came to take this shit and I did Handle my biz, I scramble like Randall with his Cunningham, but the only thing runnin' is numbers, fam Jigga held you down six summers, damn, where's the love?  [Chorus: Bobby Bland & JAY-Z] Ain't no love in the heart of the city Niggas, where's the love? Ain't no love in the heart of town (Holla at me) Ain't no love (Take 'em to church), in the heart of the city Uh, uh, uh, uh, my nigga, where is the love? Ain't no love in the heart of town (Fuck) [Verse 3: JAY-Z] Then Richard Pryor go and burn up And Ike and Tina Turner break up Then I wake up to more bullshit You knew me before records, you never disrespected me Now that I'm successful, you'll pull this shit Nigga, I'll step on your porch, step to your boss Let's end the speculation, I'm talkin' to all of y'all Males shouldn't be jealous, that's a female trait What, you mad 'cause you push dimes and he sell weight? Y'all don't know my expenses, I gotta buy bigger plates Haha, and more baggies, why you all aggy? Nigga, respect the game, that should be it What you eat don't make me shit Where's the love? Where's the love?  [Chorus: Bobby Bland] Ain't no love in the heart of the city Ain't no love in the heart of town Ain't no love in the heart of the city Ain't no love in the heart of town Ain't no love in the heart of the city Ain't no love in the heart of town Ain't no love",rap
"[Intro] Haha Dance  [Verse 1] Back door cracked, we don't need a key We get in for free No VIP sleaze Drink that Kool-Aid, follow my lead Now you're one of us You're comin' with me  [Pre-Chorus] It's time to kill the lights and Shut the DJ down (This place about to—) Tonight, we're takin' over No one's getting out  [Chorus] This place about to blow (Oh-oh-oh-oh-oh-oh-oh) Blow (Oh-oh-oh-oh-oh-oh-oh) This place about to blow (Oh-oh-oh-oh-oh-oh-oh) Blow (Oh-oh-oh-oh-oh-oh-oh) This place about to blow (Oh-oh-oh-oh-oh-oh-oh) Blow (Oh-oh-oh-oh-oh-oh-oh) This place about to blow (Oh-oh-oh-oh-oh-oh-oh) Blow (Oh-oh-oh-oh-oh-oh-oh) This place about to— [Verse 2] Now what? (What?) We're taking control We get what we want We do what you don't Dirt and glitter cover the floor We're pretty and sick We're young and we're bored (Ha!)  [Pre-Chorus] It's time to lose your mind and Let the crazy out (This place about to—) Tonight, we're takin' names 'cause We don't mess around  [Chorus] This place about to blow (Oh-oh-oh-oh-oh-oh-oh) Blow (Oh-oh-oh-oh-oh-oh-oh) This place about to blow (Oh-oh-oh-oh-oh-oh-oh) Blow (Oh-oh-oh-oh-oh-oh-oh) This place about to blow (Oh-oh-oh-oh-oh-oh-oh) Blow (Oh-oh-oh-oh-oh-oh-oh) This place about to blow (Oh-oh-oh-oh-oh-oh-oh) Blow (Oh-oh-oh-oh-oh-oh-oh) This place about to—  [Bridge] Go-go-go-go insane, go insane Throw some glitter, make it rain on 'em Let me see them Hands Let me, let me see them Hands Go insane, go insane Throw some glitter, make it rain on 'em Let me see them Hands Let me, let me see them Hands (C'mon!) We're taking over (Oh-oh-oh-oh-oh-oh-oh) (This place about to blow, oh-oh-oh-oh-oh-oh-oh) Get used to it, okay? (Blow, oh-oh-oh-oh-oh-oh-oh) [Chorus] This place about to blow (Oh-oh-oh-oh-oh-oh-oh) Blow (Oh-oh-oh-oh-oh-oh-oh) This place about to blow (Oh-oh-oh-oh-oh-oh-oh) Blow (Oh-oh-oh-oh-oh-oh-oh) This place about to blow (Oh-oh-oh-oh-oh-oh-oh) Blow (Oh-oh-oh-oh-oh-oh-oh) This place about to blow (Oh-oh-oh-oh-oh-oh-oh) Blow (Oh-oh-oh-oh-oh-oh-oh) This place about to—",pop
"[Intro: Puff Daddy] I want you to ask yourself one question If you had twenty-four hours to live, what would you do? That's some deep shit right there, a lot of pressure How would you handle it? Mase, what would you do?  [Verse 1: Mase] Yo, I'd turn out all the hoes that's heterosexual Smack conceited niggas right off the pedestal I'd even look for my dad that I never knew And show him how I look in my Beretta too I'd do good shit like take kids from the ghetto Show them what they could have if they never settle Take every white kid from high class level Show 'em what Christmas like growin' up in the ghetto Teach niggas how to spend, stack the rest Give blunts to the niggas under massive stress Give every bum on the street cash to invest And hope Harlem World blow up be my last request [Verse 2: Jadakiss] Yo, yo, if I had twenty four hours to kick the bucket, fuck it I'd probably eat some fried chicken and drink a Nantucket Then go get a jar from Branson And make sure I leave my mother the money To take care of grandson Load the three power, hop in the Eddie Bauer And go give all six to that papi that sold me flour Get a fresh baldie, make a few calls Shop at the mall, shoot a lil' ball Have all of my bitches in one telly at the same time Spread it out on different floors And I'm gon' play lotto, for what? Even though I ain't gon' be here tomorrow, so what?  [Verse 3: Black Rob] You know when I was close to the ledge I'd probably be in the wedge With this bad Spanish mami playin' 'tween my legs Then I'm off to get choke and smoke one of them dreads And get that bitch from '89 that gave us up to the Feds Thought of momma, wrote her a note, we ain't close I hate her boyfriend so I put one in his throat Fuck around and sniff an ounce of raw, bust the four Pause, pull out my dick and take a piss on the floor Jump in the whip, get them cats I wanted to get Since the Tavern on the Green robbery in '86 Went home, took a shower in ice cold water And spend my last hours with my son and my daughter [Chorus: Puff Daddy] If you had twenty-four hours to live, just think Where would you go? What would you do? Who would you screw? And who would you wanna notify? Or would your ass deny that your ass about to die? If you had twenty-four hours to live, just think Where would you go? What would you do? Who would you screw? And who would you wanna notify? Or would your ass deny that your ass about to die?  [Verse 4: Sheek Louch] What, aiyyo, if I had twenty-four, nigga gotta get the raw Run all in papi's spot, put one in his head at the door For the times that I paid for twenty and he gave me twelve The other eight had to be baking soda by itself So papi, fuck you, you dead now, I'm off to the bank With those bricks in a book bag and a stolen Jag I just grabbed Went in there, grab the bank teller with the pretty face Fuck her in the safe and have her take me to my place We'll make a kid but that's selfish and that'll be bad For my son to have the same shit his pops just had And when I'm down to twenty-three, I'ma be strapped with TNT Run up in city hall and take the judges with me  [Verse 5: Styles P] If I had twenty-four hours to live, I'd probably die on the fifth Run in the station squeezin' the inf' I'll be waitin' to get to Hell and bust down Satan Styles on this shit and I got spot vacant Back to the twenty-four, I'll make it out the precinct Shootin' niggas that I hate in they face while they eatin' I'm on the job robbin' every so-called don Give the money to my moms and tell her that I'm gone I would school my little brother that niggas mean him harm He should learn to tell the future without readin' palms When they come in with the bullets, you prepared with the bomb So fuck bein' violent, get stocks and bonds [Verse 6: DMX] Twenty-four left until my death So I'm gon' waste a lot of lives but I'll cherish every breath I know exactly where I'm goin' but I'ma send you there first And with the shit that I'll be doin', I'ma send you there wo",rap
