,Message
0,go jurong point crazi avail bugi n great world la e buffet cine got amor wat 
1,ok lar joke wif u oni 
2,free entri 2 wkli comp win fa cup final tkts 21st may 2005 text fa 87121 receiv entri questionstd txt ratetc appli 08452810075over18 
3,u dun say earli hor u c alreadi say 
4,nah dont think goe usf live around though 
5,freemsg hey darl 3 week word back id like fun still tb ok xxx std chgs send å£150 rcv 
6,even brother like speak treat like aid patent 
7,per request mell mell oru minnaminungint nurungu vettam set callertun caller press 9 copi friend callertun 
8,winner valu network custom select receivea å£900 prize reward claim call 09061701461 claim code kl341 valid 12 hour 
9,mobil 11 month u r entitl updat latest colour mobil camera free call mobil updat co free 08002986030 
10,im gonna home soon dont want talk stuff anymor tonight k ive cri enough today 
11,six chanc win cash 100 20000 pound txt csh11 send 87575 cost 150pday 6day 16 tsandc appli repli hl 4 info 
12,urgent 1 week free membership å£100000 prize jackpot txt word claim 81010 tc wwwdbuknet lccltd pobox 4403ldnw1a7rw18 
13,ive search right word thank breather promis wont take help grant fulfil promis wonder bless time 
14,date sunday 
15,xxxmobilemovieclub use credit click wap link next txt messag click httpwap xxxmobilemovieclubcomnqjkgighjjgcbl 
16,oh kim watch 
17,eh u rememb 2 spell name yes v naughti make v wet 
18,fine thatåõ way u feel thatåõ way gota b 
19,england v macedonia dont miss goalsteam news txt ur nation team 87077 eg england 87077 trywal scotland 4txtì¼120 poboxox36504w45wq 16 
20,serious spell name 
21,iû÷m go tri 2 month ha ha joke 
22,ì pay first lar da stock comin 
23,aft finish lunch go str lor ard 3 smth lor u finish ur lunch alreadi 
24,ffffffffff alright way meet sooner 
25,forc eat slice im realli hungri tho suck mark get worri know im sick turn pizza lol 
26,lol alway convinc 
27,catch bus fri egg make tea eat mom left dinner feel love 
28,im back amp pack car ill let know there room 
29,ahhh work vagu rememb feel like lol 
30,wait that still clear sure sarcast that x doesnt want live us 
31,yeah got 2 v apologet n fallen actin like spoilt child got caught till 2 wont go bad cheer 
32,k tell anyth 
33,fear faint housework quick cuppa 
34,thank subscript rington uk mobil charg å£5month pleas confirm repli yes repli charg 
35,yup ok go home look time msg ì xuhui go learn 2nd may lesson 8am 
36,oop ill let know roommat done 
37,see letter b car 
38,anyth lor u decid 
39,hello how saturday go text see youd decid anyth tomo im tri invit anyth 
40,pls go ahead watt want sure great weekend abiola 
41,forget tell want need crave love sweet arabian steed mmmmmm yummi 
42,07732584351 rodger burn msg tri call repli sms free nokia mobil free camcord pleas call 08000930705 deliveri tomorrow 
43,see 
44,great hope like man well endow ltgt inch 
45,callsmessagesmiss call 
46,didnt get hep b immunis nigeria 
47,fair enough anyth go 
48,yeah hope tyler cant could mayb ask around bit 
49,u dont know stubborn didnt even want go hospit kept tell mark im weak sucker hospit weak sucker 
50,think first time saw class 
51,gram usual run like ltgt half eighth smarter though get almost whole second gram ltgt 
52,k fyi x ride earli tomorrow morn hes crash place tonight 
53,wow never realiz embarass accomod thought like sinc best could alway seem happi cave im sorri didnt dont give im sorri offer im sorri room embarass 
54,sms ac sptv new jersey devil detroit red wing play ice hockey correct incorrect end repli end sptv 
55,know mallika sherawat yesterday find lturlgt 
56,congrat 1 year special cinema pass 2 call 09061209465 c suprman v matrix3 starwars3 etc 4 free bx420ip45w 150pm dont miss 
57,sorri ill call later meet 
58,tell reach 
59,yesgauti sehwag odi seri 
60,gonna pick 1 burger way home cant even move pain kill 
61,ha ha ha good joke girl situat seeker 
62,part check iq 
63,sorri roommat took forev ok come 
64,ok lar doubl check wif da hair dresser alreadi said wun cut v short said cut look nice 
65,valu custom pleas advis follow recent review mob award å£1500 bonus prize call 09066364589 
66,today song dedic day song u dedic send ur valuabl frnds first rpli 
67,urgent ur award complimentari trip eurodisinc trav acoentry41 å£1000 claim txt dis 87121 186å£150morefrmmob shracomorsglsuplt10 ls1 3aj 
68,hear new divorc barbi come ken stuff 
69,plane give month end 
70,wah lucki man save money hee 
71,finish class 
72,hi babe im home wanna someth xx 
73,kkwhere youhow perform 
74,u call 
75,wait machan call free 
76,that cool gentleman treat digniti respect 
77,like peopl much shi pa 
78,oper ltgt 
79,still look job much tas earn 
80,sorri ill call later 
81,k call ah 
82,ok way home hi hi 
83,place man 
84,yup next stop 
85,call later dont network urgnt sms 
86,real u get yo need 2 ticket one jacket im done alreadi use multi 
87,yes start send request make pain came back im back bed doubl coin factori gotta cash nitro 
88,im realli still tonight babe 
89,ela kanoil download come wen ur free 
90,yeah donû÷t stand close tho youû÷ll catch someth 
91,sorri pain ok meet anoth night spent late afternoon casualti mean havent done stuff42moro includ time sheet sorri 
92,smile pleasur smile pain smile troubl pour like rain smile sum1 hurt u smile becoz someon still love see u smile 
93,pleas call custom servic repres 0800 169 6031 10am9pm guarante å£1000 cash å£5000 prize 
94,havent plan buy later check alreadi lido got 530 show e afternoon u finish work alreadi 
95,free rington wait collect simpli text password mix 85069 verifi get usher britney fml 
96,watch telugu moviewat abt u 
97,see finish load loan pay 
98,hi wk ok hol yes bit run forgot hairdress appoint four need get home n shower beforehand caus prob u ham 
99,pleas dont text anymor noth els say 
100,okay name ur price long legal wen pick u ave x am xx 
101,im still look car buy gone 4the drive test yet 
102,per request mell mell oru minnaminungint nurungu vettam set callertun caller press 9 copi friend callertun 
103,wow your right didnt mean guess gave boston men chang search locat nyc someth chang cuz signin page still say boston 
104,umma life vava umma love lot dear 
105,thank lot wish birthday thank make birthday truli memor 
106,aight ill hit get cash 
107,would ip address test consid comput isnt minecraft server 
108,know grumpi old peopl mom like better lie alway one play joke 
109,dont worri guess hes busi 
110,plural noun research 
111,go dinnermsg 
112,im ok wif cos like 2 tri new thing scare u dun like mah cos u said loud 
113,gent tri contact last weekend draw show å£1000 prize guarante call 09064012160 claim code k52 valid 12hrs 150ppm 
114,wa ur openin sentenc formal anyway im fine juz tt im eatin much n puttin weighthaha anythin special happen 
115,enter cabin pa said happi bday boss felt special askd 4 lunch lunch invit apart went 
116,winner u special select 2 receiv å£1000 4 holiday flight inc speak live oper 2 claim 0871277810910pmin 18 
117,goodo yes must speak friday eggpotato ratio tortilla need 
118,hmmmi uncl inform hes pay school direct pls buy food 
119,privat 2004 account statement 07742676969 show 786 unredeem bonus point claim call 08719180248 identifi code 45239 expir 
120,urgent mobil award å£2000 bonus caller prize 5903 final tri contact u call landlin 09064019788 box42wr29c 150ppm 
121,new address applespairsal malarki 
122,today voda number end 7548 select receiv 350 award match pleas call 08712300220 quot claim code 4041 standard rate app 
123,go sao mu today done 12 
124,ìï predict wat time ìll finish buy 
125,good stuff 
126,knowyetund hasnt sent money yet sent text bother send dont involv anyth shouldnt impos anyth first place apologis 
127,room 
128,hey girl r u hope u r well del r bak long time c give call sum time lucyxx 
129,kkhow much cost 
130,im home 
131,dear call tmorrowpl accomod 
132,first answer question 
133,sunshin quiz wkli q win top soni dvd player u know countri algarv txt ansr 82277 å£150 sptyron 
134,want 2 get laid tonight want real dog locat sent direct 2 ur mob join uk largest dog network bt txting gravel 69888 nt ec2a 31pmsg150p 
135,haf msn yijuehotmailcom 
136,call meet 
137,check room befor activ 
138,youll rcv msgs chat svc free hardcor servic text go 69988 u get noth u must age verifi yr network tri 
139,got c lazi type forgot ì lect saw pouch like v nice 
140,k text your way 
141,sir wait mail 
142,swt thought nver get tire littl thing 4 lovabl person cozsomtim littl thing occupi biggest part heart gud ni8 
143,know pls open back 
144,yes see ya dot 
145,what staff name take class us 
146,freemsg havent repli text im randi sexi femal live local luv hear u netcollex ltd 08700621170150p per msg repli stop end 
147,ummmawil call check inour life begin qatar pls pray hard 
148,ki delet contact 
149,sindu got job birla soft 
150,wine flow im never 
151,yup thk cine better cos need 2 go 2 plaza mah 
152,ok ur typic repli 
153,per request mell mell oru minnaminungint nurungu vettam set callertun caller press 9 copi friend callertun 
154,everywher dirt floor window even shirt sometim open mouth come flow dream world without half chore time joy lot tv show ill see guess like thing must exist like rain hail mist time done becom one 
155,aaooooright work 
156,im leav hous 
157,hello love get interview today happi good boy think mear miss 
158,custom servic annonc new year deliveri wait pleas call 07046744435 arrang deliveri 
159,winner u special select 2 receiv å£1000 cash 4 holiday flight inc speak live oper 2 claim 0871277810810 
160,keep safe need miss alreadi envi everyon see real life 
161,new car hous parentsi new job hand 
162,im love im excit day spend make happi 
163,pls stop bootydeli 32f invit friend repli yes434 no434 see wwwsmsacubootydeli stop send stop frnd 62468 
164,bangbab ur order way u receiv servic msg 2 download ur content u goto wap bangb tv ur mobil internetservic menu 
165,place ur point e cultur modul alreadi 
166,urgent tri contact last weekend draw show å£900 prize guarante call 09061701939 claim code s89 valid 12hrs 
167,hi frnd best way avoid missunderstd wit belov one 
168,great escap fanci bridg need lager see tomo 
169,yes complet formclark also utter wast 
170,sir need axi bank account bank address 
171,hmmm thk sure got time hop ard ya go 4 free abt muz call u discuss liao 
172,time come later 
173,bloodi hell cant believ forgot surnam mr ill give u clue spanish begin 
174,well im gonna finish bath goodfin night 
175,let know youv got money carlo make call 
176,u still go mall 
177,turn friend stay whole show wont back til ltgt feel free go ahead smoke ltgt worth 
178,text doesnt repli let know log 
179,hi spoke maneesha v wed like know satisfi experi repli toll free yes 
180,lift hope offer money need especi end month approach hurt studi anyway gr8 weekend 
181,lol u trust 
182,ok gentleman treat digniti respect 
183,guy close 
184,go noth greatby 
185,hello handsom find job lazi work toward get back net mummi where boytoy miss 
186,haha awesom minut 
187,pleas call custom servic repres freephon 0808 145 4742 9am11pm guarante å£1000 cash å£5000 prize 
188,got xmas radio time get 
189,jus reach home go bath first sis use net tell u finish k 
190,uniqu enough find 30th august wwwareyouuniquecouk 
191,im sorri ive join leagu peopl dont keep touch mean great deal friend time even great person cost great week 
192,hi final complet cours 
193,stop howev suggest stay someon abl give or everi stool 
194,hope youv settl new school year wishin gr8 day 
195,gud mrng dear hav nice day 
196,u got person stori 
197,hamster dead hey tmr meet 1pm orchard mrt 
198,hi kate even hope see tomorrow bit bloodi babyjontet txt back u xxx 
199,found enc ltgt 
200,sent ltgt buck 
201,hello darlin ive finish colleg txt u finish u love kate xxx 
202,account refil success inr ltdecimalgt keralacircl prepaid account balanc rs ltdecimalgt transact id kr ltgt 
203,goodmorn sleep ga 
204,u call alter 11 ok 
205,ìï say like dat dun buy ericsson oso cannot oredi lar 
206,enter cabin pa said happi bday boss felt special askd 4 lunch lunch invit apart went 
207,aight yo dat straight dogg 
208,pleas give us connect today ltdecimalgt refund bill 
209,shoot big load get readi 
210,what bruv hope great break reward semest 
211,home alway chat 
212,kkgoodstudi well 
213,yup ì noe leh 
214,sound great home 
215,final match head toward draw predict 
216,tire havent slept well past night 
217,easi ahsen got select mean good 
218,take exam march 3 
219,yeah think use gt atm regist sure there anyway help let know sure readi 
220,ok prob take ur time 
221,os call ubandu run without instal hard diskyou use os copi import file system give repair shop 
222,sorri ill call later 
223,u say leh cours noth happen lar say v romant jus bit lor thk e nite sceneri nice leh 
224,500 new mobil 2004 must go txt nokia 89545 collect todayfrom å£1 www4tcbiz 2optout 08718726270150gbpmtmsg18 
225,would realli appreci call need someon talk 
226,u meet ur dream partner soon ur career 2 flyng start 2 find free txt horo follow ur star sign e g horo ari 
227,hey compani elama po mudyadhu 
228,life strict teacher bcoz teacher teach lesson amp conduct exam life first conduct exam amp teach lesson happi morn 
229,dear good morn 
230,get gandhipuram walk cross cut road right side ltgt street road turn first right 
231,dear go rubber place 
232,sorri batteri die yeah im 
233,yesher tv alway avail work place 
234,text meet someon sexi today u find date even flirt u join 4 10p repli name age eg sam 25 18 msg recdthirtyeight penc 
235,print oh ltgt come upstair 
236,ill littl closer like bus stop street 
237,youwhen wil reach 
238,new theori argument win situat lose person dont argu ur friend kick amp say im alway correct 
239,u 447801259231 secret admir look 2 make contact ufind rreveal think ur specialcal 09058094597 
240,tomarrow final hear laptop case cant 
241,pleassssssseeeee tel v avent done sportsx 
242,okay shine meant sign sound better 
243,although told u dat im baig face watch realli like e watch u gave cos fr u thanx 4 everyth dat uve done today im touch 
244,u dont rememb old commerci 
245,late said websit didnt dont slipper 
246,ask call ok 
247,kalli wont bat 2nd inning 
248,didnt work oh ok goodnight ill fix readi time wake dear miss good night sleep 
249,congratul ur award 500 cd voucher 125gift guarante free entri 2 100 wkli draw txt music 87066 tncs wwwldewcom1win150ppmx3age16 
250,ranjith cal drpd deeraj deepak 5min hold 
251,wen ur lovabl bcum angri wid u dnt take serious coz angri childish n true way show deep affect care n luv kettoda manda nice day da 
252,doinghow 
253,up 3day also ship compani take 2wks way usp take week get lag may bribe nipost get stuff 
254,im back lemm know your readi 
255,dont necessarili expect done get back though im headin 
256,mmm yummi babe nice jolt suzi 
257,lover need 
258,tri contact repli offer video handset 750 anytim network min unlimit text camcord repli call 08000930705 
259,iû÷m park next mini come today think 
260,yup 
261,anyway im go shop cos sis done yet dun disturb u liao 
262,luton 0125698789 ring ur around h 
263,hey realli horni want chat see nake text hot 69698 text charg 150pm unsubscrib text stop 69698 
264,dint come us 
265,wana plan trip sometm 
266,sure yet still tri get hold 
267,ur rington servic chang 25 free credit go club4mobilescom choos content stop txt club stop 87070 150pwk club4 po box1146 mk45 2wt 
268,evo download flash jealous 
269,rington club get uk singl chart mobil week choos top qualiti rington messag free charg 
270,come mu sort narcot situat 
271,night end anoth day morn come special way may smile like sunni ray leav worri blue blue bay 
272,hmv bonus special 500 pound genuin hmv voucher answer 4 easi question play send hmv 86688 infowww100percentrealcom 
273,usf guess might well take 1 car 
274,object bf come 
275,thanx 
276,tell rob mack gf theater 
277,awesom ill see bit 
278,sent type food like 
279,done hand celebr full swing yet 
280,got call tool 
281,wen u miss someon 
282,ok ask money far 
283,oki 
284,yeah think usual guy still pass last night get ahold anybodi let know ill throw 
285,k might come tonight class let earli 
286,ok 
287,hi babi im cruisin girl friend r u 2 give call hour home that alright fone fone love jenni xxx 
288,life mean lot love life love peopl life world call friend call world ge 
289,dearshal mail tonitebusi streetshal updat toniteth look okvarunnathu edukkukaye raksha ollubut good one real sens 
290,hey told name gautham ah 
291,haf u found feel stupid da v cam work 
292,oop 4 got bit 
293,much buzi 
294,accident delet messag resend pleas 
295,tmobil custom may claim free camera phone upgrad pay go sim card loyalti call 0845 021 3680offer end 28thfebtc appli 
296,unless situat go gurl would appropri 
297,hurt teas make cri end life die plz keep one rose grave say stupid miss u nice day bslvyl 
298,cant pick phone right pls send messag 
299,need coffe run tomoc believ time week alreadi 
300,awesom rememb last time got somebodi high first time diesel v 
301,shit realli shock scari cant imagin second def night u think somewher could crash night save taxi 
302,oh way food fridg want go meal tonight 
303,womdarful actor 
304,sms ac blind date 4u rodds1 21m aberdeen unit kingdom check httpimg sms acwicmb3cktz8r74 blind date send hide 
305,yup remb think book 
306,jos ask u wana meet 
307,lol yes friendship hang thread caus u wont buy stuff 
308,themob check newest select content game tone gossip babe sport keep mobil fit funki text wap 82468 
309,garag key arent bookshelf 
