text,label
"It all sounds the same, but.... It's all good. This album suffers from a common problem among metal albums in that almost all the songs sound very similar, but in this case it just doesn't matter because it's all enjoyable. From the haunting vocals to the masterful pacing of the instrumentals, every song on here is actually fairly inspiring to listen to, cliché as those descriptions sound. Definitely worth a buy.",positive
"Sedaris can be more than merely ""funny"". I found this book to be nothing like Sedaris's previous work. There are funny essays, and I often laughed out loud. The usual crowd will chat about it and list it as ""one of my all-time favorite books."" Beyond that, essays like ""Who's the Chef"" and ""The Girl Next Door"" seem to me to be the real heavy-hitting ones in the book. I think Sedaris is getting a lot more interesting and complex. I look forward to his next book but am confident that if he continues to be more than just ""funny"" his rank on the sales list will drop rapidly. Too bad.",positive
good book. i have not had alot of time to check out the book. but i will be checking it out over winter break,positive
"NOT FOR KIDS!. I got this movie for my 6 and 5 year old sons who love transformers! We have watched other PG rated movies before like Shrek...I was appalled to hear the word SH_T in the movie. We immediately turned it off and our kids will not be watching it. They are of course heart broken as it was a Christmas present as well. So, to save other parents and kids disappointment, do not get it for your kids unless you are ok with cartoon characters swearing!",negative
"Tess by Tess. A sad tale for anyone to read - for a feminist like myself, it was heartbreaking. A classic tale of women's suffering and the unfortunate things that happened before women's rights were liberated. Amazingly written, another triumph for Thomas Hardy.",positive
"Too melodramatic. This novel is written in very interesting and compelling prose, but its characters are hardly worth the effort. The charaters are obsessive bores that can only be compared to day time soap opera characters. After reading through half of this novel, I was so numb from the constant tragedy and melodrama, that I simply did not care what happened to the characters anymore. To make matters worse, the plot is extremely complicated and very difficult to follow, with new characters added every chapter.The most amazing thing about this book is its popularity and that it helped its author win the nobel prize.",negative
"Jabra Ear Gels: a comfortable and economical alternative for earhook type Bluetooth headsets.. Excellent product. I was having difficulty hearing and also getting a comfottable fit with the included ear hook that came with my Jabra JX-10 Series II Bluetooth headset. I removed the hook and attached one of the 6 gels that came in the pack to the headset and found that the volume increased 40% and I was able to achieve a comfortable fit. The headset is small enough and light enough that the gel holds the headset in the ear. I was about to give up on this headset (and all earhook type Bluetooth headsets) prior to getting the gels. If you are looking for a comfortable (and econimical) alternative for earhook type headsets, I strongly recommend that you give these a try. They are well worth the price.",positive
"DisCONTINUUM immediately!. The producers of this franchise know they have a great fan base, but now after several years of making an intelligent and entertaining sci-fi series I think they've given in to intellectual laziness. If ""Continuum"" is the new standard of what we (the fans) can expect to see in the future from this franchise, then they should just stop making these films now. The plot to ""Continuum"" is silly, the narrative (the story and how it is told) is completely bland and devoid of life. It was as though all these characters we have come to know, suddenly had their souls written out of the script.",negative
"Whitman Glorified?. Whitman Glorified?Whitman's descriptions of nature are inspired and his style exudes with the same passion as his subject. Yet, his self-absorption overshadows his talent. Whitman's poem, ""Song of Myself"" takes up a significant portion of the book, Leaves of Grass. Here, Whitman keeps no points in reserve, but spends 52 sections ""celebrating"" himself. He feels he, as man, is the great panacea. He suckles at its mercy until it fills not only his subject matter, but influences his technique and his structure as well. His intriguing mind leads the reader along, until disappointment is found in another laborious passage expounding god status and the call to ascend to his level of distorted thinking. Whitman's momentary descriptive nuggets are lost in a sea of narcissism.",negative
"It's Ciggie time!. About the only interesting factor in this boring, languid flick is watching Keanu lighting up an endless supply of smokes. Even in the rain, he's whipping out that good ole lighter and puffing away. Only thing is he looks and acts like someone whose never puffed anything stronger than hemp. He doesn't appear to enjoy al those ciggies. I'm around dedicated smokers all the time and when they inhale that smoke, they appear transported into a little bit of heaven. Oh, yeah, somewhere in this convuluted mess are computer generated monsters who look like they were created by a kindergarten class.",negative
"Good, expensive. Good diapers. High price, would use store brand instead. Small babies don't pee that much, so save money and buy cheaper diapers.",positive
Think Before you buy. High Sierra Axle Wheeled Backpack.The straps are thin and hurt my childThe two lower black bottons came off within a weekThe wheels are not smooth dispite that there are four wheelThe handle has only one position which is to long four anyone under 5feet 2 inches.,negative
"Fine product. I received my Hi-Tec Altitude boots and am very pleased. I had purchased a Hi-Tec product from a retailer some time ago and was pleased with the fit, in particular. The Altitudes are solidly made, fit very well, are comfortable and as waterproof as described. I have shopped extensively for waterproof boots for trekking through the rain, snow and slush of New York City. I walk 20-30 blocks a day in these and they perform very well. I have been unable to find a similar pair of boots at this price anywhere I have shopped. I recommend these highly.",positive
"Not what I was expecting.. This book is set up as a dictionary. If you enjoy reading dictionaries, then please purchase this book. The humor was lost on me because of the format.",negative
"A classic for the ages. My sister, Joette Zitwer Wolf Alkire read this to me in 1965 and I still remember the vivid descriptions that the author, Jules Verne, was able to impart to the gentle reader.",positive
"I have heard all this before. Ever buy a cd and say this sounds familiar? Yep, this is one of them. Save your money for something new.",negative
"A mere shadow of the magnificence that was Dune.. Unfortuantly, Dune Messiah does not live up to Dune. Dune I gave five stars, however, this book does not go in depth about anything. It merely skimms the top of everything and doesn't explain or explore as well as it could have, and should have.Dune Messiah attempts to build on Dune, the ultimate in sci-fi, and fails miserably. Instead of bettering the Dune story, it weakens it with bad plot twists that are nothing like that of Dune.I had trouble reading the end of this book because it starts out slow, and doesn't improve. It laggs through the whole story whereas Dune the origional glued you to the book.Finally, Messiah mocks the origional Dune by weakenning the structure with which Dune was created and the glory was origionally born.So if you're looking to find the magic that Dune brought, don't read Massiha, it just doesn't live up to the name Dune.",negative
"Very disappointed..... Clay has a fantastic voice. There is NO doubt about that, but the music seems forced and contrived. Maybe if I listen more I may learn to like it, but for now, I'm disappointed in the effort, not Clay's voice, the production...",negative
"Very motivational. If you have breath in your body, you need to read this book. If God gave you breath then he gave you spiritual gifts as well and wants you to use them.The author of this book gives a balanced account of spiritual gifts, what they are, how to know if you have them, and how to develop them. This book is like ""one-stop-shopping"" for everything you need to know about spiritual gifts. The author pulls on his extensive background in biblical studies to write authoritatively about his subject. But his tone is conversational and easier to read than many other books on the subject, and it's never condescending. He includes some interesting anecdotes.I especially enjoyed the Spiritual Gifts Inventory at the end.",positive
"I diagree with meryl and Tread 43!. Tread 43 and meryl what are you preschoolers, did you even read it? And to a reader from califoria, august 16, 1998, did you stop reading it after 2 pages, every books bad at the very begining I've just finished fifth grade and I loved it never stop reading a book unless its bad after the first 30, 40 pages is what may teacher always said!",positive
"disappointed. I guess because it was offered to me as ""free"" my Amazon Unbox viewer became corrupted and I was unable to re-install. I expect better from Amazon.",negative
