text,true_category,word_count
this is such bullshit deir yassin was an unprovoked attack on the part of the jews and a massacre defines it best in my opinion the village of deir yassin had had a pact with the jews a peace pact but the irgun purposely broke this agreement in order to scare off the palestinians i might grant that this village housed armed arabs i doubt it but nothing in the archives and available literature indicates that this was a motivating force amongst the irgun the deir yassin massacre was part of an over all strategy to intimidate the palestinians to flee the jewish homeland and contrary to your belief many civilians were killed deir yassin was later advertized by the very jews who perpetrated it because it was useful in getting many palestinians to leave the palestinians were rightfully scared off because they did not want another deir yassin i m not necessarily condemning the israelites here atrocities were aslo committed on the part of the arabs israelophiles should just be careful in thinking that they are and were the good guys in the middle east both arab and jew suck equally,talk.politics.mideast,192
check out the shocks where they mount at both ends if you have the type that have a loop from lack of a better term and a bolt like piece sticking through there should be a rubber bushing between the loop and the bolt is it there is it crushed and allowing metal to metal contact i hope you can make some sense of this good luck,rec.autos,67
while in grad school i remember a biochemistry friend of mine working with heat shock proteins apparently burning protein will induce changes in he dna whether these changes survive the denaturing that occurs during digestion i don t know but i never eat burnt food because of this also many woods contain toxins as they are burnt it would seem logical that some may volatilise and get into the bbqed food again i don t know if these toxins antifungal and anti woodeater compounds would survive the rather harsh conditions of the stomach and intestine and then would they be able to cross the intestinal mucosa maybe someone with more biochemical background than myself which is almost anyone can shed some light on heat shock proteins and the toxins that may be in the wood used to make charcoal and bbq,sci.med,141
from center for policy research cpr subject unconventional peace proposal a unconventional proposal for peace in the middle east by elias davidsson the following proposal is based on the following assumptions fundamental human rights such as the right to life to education to establish a family and have children to human dignity the right to free movement to free expression etc are more important to human existence that the rights of states in the event of a conflict between basic human rights and rights of collectivities basic human rights should prevail between the collectivities defining themselves as jewish israeli and palestinian arab however labelled an unresolved conflict exists this conflict has caused great sufferings for millions of people it moreover poisons relations between communities peoples and nations each year the united states expends billions of dollars in economic and military aid to the conflicting parties attempts to solve the israeli arab conflict by traditional political means have failed as long as the conflict is perceived as that between two distinct ethnical religious communities peoples which claim the land there is no just nor peaceful solution possible love between human beings can be capitalized for the sake of peace and justice when people love they share having stated my assumptions i will now state my proposal a fund should be established which would disburse grants for each child born to a couple where one partner is israeli jew and the other palestinian arab to be entitled for a grant a couple will have to prove that one of the partners possesses or is entitled to israeli citizenship under the law of return and the other partner although born in areas under current isreali control is not entitled to such citizenship under the law of return for the first child the grant will amount to for the second the third child for each child for each subsequent child the grant will amount to for each child the fund would be financed by a variety of sources which have shown interest in promoting a peaceful solution to the israeli arab conflict including the u s government jewish and christian organizations in the u s and a great number of governments and international organizations the emergence of a considerable number of mixed marriages in israel palestine all of whom would have relatives on both sides of the divide would make the conflict lose its ethnical and unsoluble core and strengthen the emergence of a truly civil society the existence of a strong mixed stock of people would also help the integration of israeli society into the middle east in a graceful manner objections to this proposal will certainly be voiced i will attempt to identify some of these the idea of providing financial incentives to selected forms of partnership and marriage is not conventional however it is based on the concept of affirmative action which is recognized as a legitimate form of public policy to reverse the perverse effects of segregation and discrimination international law clearly permits affirmative action when it is aimed at reducing racial discrimination and segregation it may be objected that the israeli palestinian conflict is not primarily a religious or ethnical conflict but that it is a conflict between a colonialist settler society and an indigenous colonized society that can only regain its freedom by armed struggle this objection is based on the assumption that the enemy is not zionism as ideology and practice but israeli jewish society and its members which will have to be defeated this objection has no merit because it does not fulfill the first two assumptions concerning the primacy of fundamental human rights over collective rights see above fundamentalist jews would certainly object to the use of financial incentives to encourage mixed marriages from their point of view the continued existence of a specific jewish people overrides any other consideration be it human love peace of human rights the president of the world jewish congress edgar bronfman reflected this view a few years ago in an interview he gave to der spiegel a german magazine he called the increasing assimilation of jews in the world a calamity comparable in its effects only with the holocaust this objection has no merit either because it does not fulfill the first two assumptions see above it may objected that only a few people in israel palestine would request such grants and that it would thus not serve its purpose to this objection one might respond that although it is not possible to determine with certainty the effect of such a proposal the existence of such a fund would help mixed couples to resist the pressure of their respective societies and encourage young couples to reject fundamentalist and racist attitudes it may objected that such a fund would need great sums to bring about substantial demographic changes this objection has merits however it must be remembered that huge sums more than billion are expended each year by the united states government and by u s organizations to maintain an elusive peace in the middle east through armaments a mere fraction of these sums would suffice to launch the above proposal and create a more favorable climate towards the existence of mixed marriages in israel palestine thus encouraging the emergence of a non segregated society in that worn torn land i would be thankful for critical comments to the above proposal as well for any dissemination of this proposal for meaningful discussion and enrichment,talk.politics.mideast,914
it seems sad that people lose all perspective when they here about a case of violence by teenagers for a little perspective how about the thousands of kind teenagers who volunteer at local agencies to help children seniors the homeless did you read about all the kids at stanford who spent their spring breaks helping out in inner city areas what about the hundreds of volunteers teenagers and others who worked to clean up the mess after the rodney king riots in la have you gone to your local high school play recently attended the school orchestra performances have you seen how many kids volunteer to pick up trash plant trees do walk a thons how many kids have tried to sell you stuff to benefit organizations they belong to how many girl scout cookies have you bought how many chocolate bars for good causes the media picks up on all the anomalies the sensational what about the wonderful teenagers all over the place who work hard at school get good grades go to college or to work and make a real contribution to our society all humans are teenagers at some time in their lives mother theresa was a teenager and so was geoffrey dahmer it is really sad to see so many people who buy the sensational reporting of the media as some kind of reflection of the world today it is a reflection of what is happening on the outer fringes of our society and nothing more,rec.autos,250
the delorean had the yucky prv v engine a joint venture between peugout note spelling renault and volvo prv this engine is a mighty boring piece of junk with approx hp doesn t like revs at all if you look at the delorean in the movie back to the future you will note that they changed the engine sound to a big v a real delorean doesn t sounds half as good you will also note that every time they have to spin the tires in the movie the ground is all wet this is because a delorean can t make a burnout on a dry road the weak engine thats mounted over the rear axle makes it almost impossible,rec.autos,120
can someone tell me whether or not any of the following medications has been linked to rapid excessive weight gain and or a distorted sense of taste or smell hismanal azmacort a topical steroid to prevent asthma vancenase,sci.med,38
the following posting was forged in my name please ignore such postings forged newsgroups soc culture turkish talk politics mideast talk politics forged soviet soc culture greek forged from dbd urartu sdpa org david davidian forged news software vax vms vnews forged organization university of tennessee computing center forged date fri apr gmt forged lines forged forged dear friends forged forged i am a graduate student in education at the university of tennessee forged forged forged forged questionnaire forged teaching music for deaf children forged forged name forged address e mail forged employing institution forged years of experience grade level s forged educational background bachelor masters doctorate forged professional field special educ music educ other the above posting was forged in my name please ignore such postings,talk.politics.mideast,127
how quaint of you to point this out and then to completely ignore all of the blatant lies you ve trotted out the scenario and genocide staged by the armenians years ago in eastern anatolia and x soviet armenia is being reenacted again this time in azerbaijan there are remarkable similarities between the plots the perpetrators and the underdogs remember in article bac d news service uci edu you have blatantly lied and still have not corrected yourself i ll let the rest of the net judge this on its own merits source the sunday times march a british weekly written by thomas goltz from agdam azerbaijan armenian soldiers massacre hundreds of fleeing families the spiralling violence gripping the outer republics of the former soviet union gained new impetus yesterday with cold blooded slaughter of hundreds of women and children in war racked nagorno karabakh survivors reported that armenian soldiers shot and bayoneted more than azeris many of them women and children who were fleeing an attack on their town hundreds possibly thousands were missing and feared dead the attackers killed most of the soldiers and volunteers defending the women and children they then turned their guns on the terrified refugees the few survivors later described what happened that s when the real slaughter began said azer hajiev one of three soldiers to survive the armenians just shot and shot and then they came in and started carving up people with their bayonets and knives they were shooting shooting shooting echoed rasia aslanova who arrived in agdam with other women and children who made their way through armenian lines she said her husband kayun and a son in law were killed in front of her her daughter was still missing one boy who arrived in agdam had an ear sliced off the survivors said others some of whom had fled separately were still missing in the gruelling terrain many could perish from their wounds or the cold by late yesterday deaths had been registered at the morgue in agdam s morgue and bodies had been buried in the cemetery of the seven corpses i saw awaiting burial two were children and three were women one shot through the chest at point blank range agdam hospital was a scene of carnage and terror doctors said they had patients who escaped slaughter most with bullet injuries or deep stab wounds nor were they safe in agdam on friday night rockets fell on the city which has a population of destroying several buildings and killing one person now wait there is more it s inhumane to ignore this violence the stories of survivors of karabag massacre year old hatin nine telling my twin grandchildren were cut to pieces in front of my eyes they told me we won t kill you but the babies have to die in front of your eyes year old huseyin ibrahimoglu our turkish village in khojalu town was blown up in two hours turks you must die year old gulsum huseyin they bayonetted my year old daughter in her stomach in front of my eyes are these stories lies have the eye witnesses been day dreaming were these stories forged by turkish journalists in the region the nonsense of such a claim is clear from the writings of british journalists too two days before we had quoted from a sunday times article they british reported the events in karabag even before turkish journalists what is more here are the pictures pictures of people who were bayonetted whose eyes were gouged ears cut off even the armenian radio couldn t claim these lies they are saying exaggeration that means somethings have happened but the situation is not as bad as reported perhaps that village of khojalu town was destroyed in hours instead of or gulsum huseyin s year old daughter was bayonetted in her chest instead of stomach the massacre is clearly seen with all its dimensions the effects of this massacre on karabag and environs cannot be reduced by any word some of the western press led by some french newspapers ability to close their eyes is nothing but complicity in this massacre yesterday we gave samples from le figaro until yesterday s print no news about the real events in karabag were printed so were the french tv channels the subject they considered related to karabag was the necessity of protecting armenians against azeri attacks the age we are living in is termed a human rights age there are lots of organizations such as united nations and csce conference on security and cooperation in europe and rules all designed to fight against human rights violations international reactions must be made with international cooperation with support of everybody and every organization claiming to be civilized could there be a more serious human rights violation than that of the right to live and with such levels of barbarity and cruelty where is the cooperation where are the reactions and the intellectuals journalists writers tv stations of certain western countries such as france who are fast to claim leadership of human rights where are you serdar argic,talk.politics.mideast,857
yes i did punch in the wrong numbers working too many late nites i intended on stating x is bytes it s not in the bios just my vesa tsr,comp.graphics,30
