clean_text,label
rt mayasolov woman complain clean hous amp man alway take trash,1
rt mleew boy dat cold tyga dwn bad cuffin dat hoe st place,2
rt urkindofbrand dawg rt sbabi life ever fuck bitch start cri confus shit,2
rt anderson viva base look like tranni,2
rt shenikarobert shit hear might true might faker bitch told ya,2
madison shit blow claim faith somebodi still fuck hoe,2
brighterday sit hate anoth bitch got much shit go,2
selfiequeenbri caus tire big bitch come us skinni girl,2
amp might get ya bitch back amp that,2
rhythmixx hobbi includ fight mariam bitch,2
keek bitch curv everyon lol walk convers like smh,2
murda gang bitch gang land,2
hoe smoke loser yea go ig,2
bad bitch thing like,2
bitch get,2
bitch nigga miss,2
bitch plz whatev,2
bitch love,2
bitch get cut everyday,2
black bottl amp bad bitch,2
broke bitch cant tell noth,2
cancel bitch like nino,2
cant see hoe wont chang,2
fuck bitch dont even suck dick kermit video bout fuck ig,2
got ya bitch tip toe hardwood floor,2
pussi lip like heaven door,2
hoe hit,2
met pussi ocean dr gave pussi pill,2
need trippi bitch fuck hennessi,2
spend money want bitch busi,2
txt old bitch new bitch pussi wetter,2
say im back old old bitch would get excit,2
aint bout murder game pussi nigga shut,2
toe done pussi stink,2
im done bitter bitch wrap angri bird there app,2
ya bitch,2
aint noth cut bitch,2
ju meet son ya mane ass bitch shot,2
lame cri hoe that tear clown,2
like snoop said dont love hoe,2
momma said pussi cat insid doghous,1
hate hoe favorit mw sevenon,2
nice girl bad make get naughti bad yello hoe real nice bodi south chick like em real thick,2
pimp pimp hoe futur voic,2
post pictur pussi get like,2
pussi power drug happyhumpday,2
quick piec pussi call drive,2
run round like brand new pussi that bout get fuck,2
bitch even worst send guy,2
hoe like nigga spend money talk bout,2
dont trust nigga bitch,2
yall nigga cuf hoe caus yall aint never bitch,2
dodg bullet darealkha da bitch cut pregnant bound thank god,2
young pill chamberlain bitch love music,2
vandalsavag teanna trump probabl cleaner twitter hoe,2
dahomiefuzz gay nigga wait act like bitch tonight,2
paradox ima steal cat replac pitbul rt sbabi life paradox bitch,2
amp gone alway hoe,2
son bitch took tic tac like movi,2
wanna get money fuck model bitch russel simmon,2
seniorprob probabl mind school much deal bitch ass teacher retweet,2
xdemeri fuck fag said,2
arizzleindacut femal think date pussi cute stuff make pussi,2
addict guy simplyaddictedtoguy woof woof hot scalli lad,1
adorebellaaa ya ever ask bitch bitch kany voic ye,2
adorezoey gone bring ur side bitch game know ya gf friend swear,2
allaboutmanfeet woof woof hot sole,1
allyhaaaaa lemmi eat oreo amp dish one oreo lol,1
almightywayn jetsandaswish gook bitch fuck mayb get better,2
almightywayn fuck red malon man bitch ass niggah could pleas use complet sentenc,2
arizonasfinest eggplant emoji doe say look like scream lmao,1
autoworid hennessey venom gt one sexi bitch,2
bossbytchh seh pussi wetter shower curtain ahmesehwet lt lmao,2
bro hen eaglesn everi eagl need see pic post bitch said racist shit,2
bvsedchink yo fuck skateboard wood push faggot man ball life amjemiebenn,2
babyanimalp babi monkey bathtim awwww soooo ador,1
baylaagottabodi shit damn skippi lol,2
beeasyjrizzi ever kill ant sidewalk think damn nigga way get pussi bs must gt chanc,2
beenbasedb kudabrazyy ring mvp bitch lol,2
beenflynsolo ppl talk bad ghetto hood kid grow nigga funnnnnnn,2
bestproadvic fact tattoo tattoo pussi tattoo nippl,2
bill rt nel ayden bitch want act like nigga bad shit aint cuteeee nigga act like bitch,2
bitchjon get worship bitch woof woof,2
blackchiquitita wow rt thatmanpalm lost buttcheek pierc yeah hoe,2
blacknerdjad ok si rather broke bitch shrug tell work,2
blackman tide whalelookyher howdydowdi queer gaywad,0
brokenpiecesmsc itsnotadam faggot read tweet dat even funni lol,2
brosconfess bitch ungrat fr lulwhor,2
cashandboobi kidnap yo bitch,2
cb babi white thunduh alsarabsss he beaner smh tell he mexican,0
ccobey aydanmccoy happi birthday nig thank yo,2
chlldhoodruin ur teacher tell homework bitch need go,2
caelang edham caelang nigga eat hoe lol hell yea lol john paul nigga said john paul,2
canifuckornah would lil ugli bald head bitch stop make make amp weav,2
carelesson leaf better win damn game go riot shit earlychristma better start loot nig,2
causewereguy go back school suck dick hoe attend,2
causewereguy way fuck yo bitch year old,2
celeynichol white thunduh come never bring food dont car retard,2
chadmfverbeck richnow show hella tinder hoe im friend anymor chill brought like like propl,2
chandlerparson bout cowboy shutup pussi,2
clicquotsuav lmaooooooooooo nigga krillz nuh care lt bitch want like depress shit foh,2
coley cee lil aerii girl know spit shit amp go lbv bitch plz,2
coley cee let make coupl tweet cuzzo page get twitter jail lmao bitch trick,2
comedypost harlem shake excus go full retard second,2
comedytruth amen miley need act like hoe bc emot damag foh,2
corybandz one loyal femal wayyyyy better hoe idc,2
crhedri pussi lick pussi meow meow stopwhitepeopl,2
dbab holloway check th man cowboysn even faggot ny fan stand,2
dgotbrick happen vixen ent bitch got ran threw side like foothil bitch,2
daedavidavi white thunduh im bitch okay nude pat wow,2
devilgrimz vigxrart fuck gay blacklist hoe hold tehgodclan anyway,0
diamondloudkush fuck wrong bitch nobodi know,2
dietrich yall shut make bitch,2
dionairish hate pregnant type bitch,2
doyou got bitch dm ever read em top,2
domworldpeac basebal season win yanke love start,1
dommoneek littl stupid bitch fuck yoooooouuuu,2
dreadheadari realli ask dead ass seriou tho could say bitch wheet lol,2
dunderbail earli bird night owl wise worm,1
edgarpixar overdos heavi drug sound bad tonight pussi shit everi day,1
el grillo pit bull photograph love fairi tale creatur fairi tale creatur,1
feroci ghost stname bravo aw fag tweet aw lol,2
flokid long laker trash could careless real cc benbal hahaha,1
frosstyy rheyd say anyth tho kiss faggot,2
funnypicsdepot play soccer cheat girl wear khaki colour cargo haircut yup,1
statu could go fat ass bitch lap,2
gedmel miss call da yo bitch twitter finna screamn freemoneymel,2
gtm al ya side bitch gotta know rule shit anybodi ask cousin jersey thinkin bout move lmmfao,2
gagatom malefoot amo lo pie fuck yeah,2
girlthatsvont hoe think meat slap ass ainna bruh,2
girlthatsvont yall bitch wit edg talk,2
girlthatsvont yall still go trick treat year nah hell yeah ima da sweet tooth bandit steal bitch bag shit,2
girllssu wanna sex mom fuck right pussi came damn got hack like fuck,2
gizzi jone kiss eye open watch bitch lmfao,2
goofstroop woulda coulda shoulda ass hoe,2
gotti ltf happi bday bitch ass nigga jetsandaswish preciat bitch roll,2
hbmostdop jaye pipinho use send bitch,2
hbmostdop ugli bitch like wcw duh bitch nobodi els,2
halotgmg stname bravo nigga know hacki sack hoe nah throw look pass lmao,2
heartlessfuck glad get outta atlanta noth bunch nigga amp outta jail amp dumb bitch mad kid fuckin em,2
hermosaalma ghetto smart idc,1
hiimjorib would wife hoe cuz care cheat forc relationship first place,2
hornyfact singl excus hoe theonemiss luu,2
hoskinsti white boy power bitch black power bitch,2
hudgen let get drunk get blow spit shit spark blunt amp fuck hoe bro white dude chill,2
iscoutgirl verbal abrupt bitch around world back,2
itsyahboiray anelylov get dick suck yo parti bad bitch fr gone set anelylov,2
itsyesi oomf soooo cute probabl hoe lot,2
jayten everi cartoon alway nuffsaid save hoe lmao lmao damn captain saveaho,2
jreebo want get nose bad boi scalli chav sockfetish stink hot sox leg,1
jamesynba wish bitch like brother keezi ooooow bet,2
jasminepor dress cat halloween basic pussi,2
jewelxo pornhub get game stream featur dumb bitch gtfo pornhub get kati lt,2
joebudden stop scare choke sex bitch ass nigga like say guy hit women bed foh,2
johnni perez white thunduh ha well iguess make hoe loyal bro theyll never loyal hoe nig,2
kazatta takehov oh man molli ho fuck ya seed fix,2
kelsiebelsi man refer everi girl bitch,2
keyshawnswag lmfao cat start beat shit nigga final got pussi nigga,2
keyshawnswag peel peel bring back rewind back move shaq line ooooow tf said trash,1
kingcuh stanley io io alu record ho vine sai pe hahahaha lol anywaaaaaay haha,2
kinghendo vondreaam naw old tape new cover upcom mixtap kingofthehil yeah wait hoe mayn,2
kingteej ol dirti foot ass bitch funni,2
king shawn white thunduh get yellow flag amaz hell yeah niggi,2
kissmysmile got time bitch actin iffi,2
knightfann ucfpinkparti come stay aliv knight nation still earli bird special comeatmeut,1
kyranadiya hoe loyal smfh amp wonder nobodi decent want,2
lcistj bruh stud keep think soft hell ask ya girl mani time scream bitch oh okay stfu bye hoe,2
lodycash dri pussi bitch alway blame condom,2
lunarap shut yo bitch ass,2
laflaregodjosh gucci mane jail drop mixtap everi month hoe even text back,2
latrobemark love hoe money wat wrong nigga,2
lebronvuitton loyal bitch burb without daddi issu like find holograph mewtwo sound like lol,2
lilfridayho easi cum easi hoe fact,2
lifeasbro charli sheen real major fuck respect charli sheen,2
lightskingawdd wish bae got hoe tho,2
lil mike fuck twerk bitch cook,2
linniekravitz wesgodlaflar bitch wtf,2
lipe great rheyd lipe great shut zoe fight pussi zoe good man good move along,2
lolaaisdop lmao fuck snake bitch em,2
loveabl aizah big booti hoe everywher sheesh damn,2
mlbnetwork stay tune mlbnetwork updat report yanke teixeiramark week dlime bum,1
rad dezdlt play soccer cheat girl wear khaki colour cargo haircut ye lmfao soccerboy,1
madflyentist oregon choke everi year get field trash ass program rft,2
mannydiesel def cowboy lol rt artoffloyd terrel owen best eagl amp cowboy ever dude cri like bitch tv romo,2
markroundtreejr lmfaoooo hate black peopl black peopl nigger,0
master tolif gabrielastarr could bitch potent,2
maxmayo piss lad past would lick dirti sole slept,1
maxmayo love frat boy soft long sole,1
maxmayo sexi lad hot sole arch,1
megamindnick white thunduh nah fam gotta cheat hoe depend femal feel,2
mesha noja vontethekidd got hick lol,1
migsmichelen new twitter confus shit go back south america bitch,2
miikito toto mean ass vagina think pussi caus toto santi like nasti pussi,2
mikelahenri actual choos ugli bitch ass must fat,2
mileycyru bitch kill vibe ya tri di love miley,2
montrel tire bitch say look mean nigga big af wear tight shirt grim everybodi,2
motherjon bird grandkid may never see thank climat chang climat,1
mvckfadden stay beauti bitch,2
nickiminaj wutkinda purpl ceeelee man gurl ju playin stupid hoe track still shit sum gurl,2
nastycopp money get taller bitch get blurri,2
newsomejad never seen bitch obsess nigga obsess mine,2
nichola ted kobe stay talk trash let forget austin meant one smh,2
nochillpaz least nigger lmfao,0
fakingg peopl alway ask mix bad asian bitch lol,2
notoriousbm whiteponyjr ariza snake coward least crippl like hero roach lmaoo,0
osay aint ignorealllaw foster home imaginari trash whoa chill show everyth tf,1
officialreplay lowkey tire tire quiet go sleep hoe,2
prayingforhead macklemro stop bring weird nigger mention prayingforhead,2
prettyboss brat love hoe,2
patrickquelo yo girl cant homeboy ol weak bitch ass nigga,2
patsfanjo palomino think worst advic gave pussi speed lol,2
poemsporn quot tweet favorit anim pussi,2
poetic success hate stripper tell dancer hoe ballet dancer pop pussi beethoven stripper,2
poffalici andrewbry poff doubl vision beer poff doubl pussi smh,2
poobi bitch twerk comput ya ya damn,2
prodsjewel sreadthepeac yungmindless peacepunkprinc princ art nobodi takin bitch,2
quan welfar govern aid claim white peopl black slander trash,1
quan bitch care play role,2
queen kaaat took find hide lime tree iemonaid di bitch da wrong tree bro,2
rtnba drake new shoe releas nike jordan ye glitter shoe dude fag,0
rachiesoul dizzleoffici inna di ghetto alon lmaoo,1
ramboutit master tolif ramboutit hoe austin teach us austin teach get curv know,1
reachtheeclimax bitch cook know suck dick one,2
renegademo fat hoe get chose lol,2
riahsm hoesaintloy well hoe one expect loyal,2
rishaawilliam treshon scroog nevertrustt ol bitch ass,2
rnadjorel bruh im tire nigga retweetin miley cyru nake bitch aint type bad lmaooo,2
