clean_text,label
nature in the broadest sense is the natural physical material world or universe,3
nature can refer to the phenomena of the physical world and also to life in general,3
the study of nature is a large if not the only part of science,3
although humans are part of nature human activity is often understood as a separate category from other natural phenomena,3
the word nature is borrowed from the old french nature and is derived from the latin word natura or essential qualities innate disposition and in ancient times literally meant birth,3
in ancient philosophy natura is mostly used as the latin translation of the greek word physis φύσις which originally related to the intrinsic characteristics that plants animals and other features of the world develop of their own accord,3
the concept of nature as a whole the physical universe is one of several expansions of the original notion it began with certain core applications of the word φύσις by pre socratic philosophers though this word had a dynamic dimension then especially for heraclitus and has steadily gained currency ever since,3
during the advent of modern scientific method in the last several centuries nature became the passive reality organized and moved by divine laws,3
with the industrial revolution nature increasingly became seen as the part of reality deprived from intentional intervention it was hence considered as sacred by some traditions rousseau american transcendentalism or a mere decorum for divine providence or human history hegel marx,3
however a vitalist vision of nature closer to the presocratic one got reborn at the same time especially after charles darwin,3
within the various uses of the word today nature often refers to geology and wildlife,3
nature can refer to the general realm of living plants and animals and in some cases to the processes associated with inanimate objects the way that particular types of things exist and change of their own accord such as the weather and geology of the earth,3
it is often taken to mean the natural environment or wilderness wild animals rocks forest and in general those things that have not been substantially altered by human intervention or which persist despite human intervention,3
for example manufactured objects and human interaction generally are not considered part of nature unless qualified as for example human nature or the whole of nature,3
this more traditional concept of natural things that can still be found today implies a distinction between the natural and the artificial with the artificial being understood as that which has been brought into being by a human consciousness or a human mind,3
depending on the particular context the term natural might also be distinguished from the unnatural or the supernatural,3
earth is the only planet known to support life and its natural features are the subject of many fields of scientific research,3
within the solar system it is third closest to the sun it is the largest terrestrial planet and the fifth largest overall,3
its most prominent climatic features are its two large polar regions two relatively narrow temperate zones and a wide equatorial tropical to subtropical region,3
precipitation varies widely with location from several metres of water per year to less than a millimetre,3
percent of the earth s surface is covered by salt water oceans,3
the remainder consists of continents and islands with most of the inhabited land in the northern hemisphere,3
earth has evolved through geological and biological processes that have left traces of the original conditions,3
the outer surface is divided into several gradually migrating tectonic plates,3
the interior remains active with a thick layer of plastic mantle and an iron filled core that generates a magnetic field,3
this iron core is composed of a solid inner phase and a fluid outer phase,3
convective motion in the core generates electric currents through dynamo action and these in turn generate the geomagnetic field,3
the atmospheric conditions have been significantly altered from the original conditions by the presence of life forms which create an ecological balance that stabilizes the surface conditions,3
despite the wide regional variations in climate by latitude and other geographic factors the long term average global climate is quite stable during interglacial periods and variations of a degree or two of average global temperature have historically had major effects on the ecological balance and on the actual geography of the earth,3
geology is the science and study of the solid and liquid matter that constitutes the earth,3
the field of geology encompasses the study of the composition structure physical properties dynamics and history of earth materials and the processes by which they are formed moved and changed,3
the field is a major academic discipline and is also important for mineral and hydrocarbon extraction knowledge about and mitigation of natural hazards some geotechnical engineering fields and understanding past climates and environments,3
the geology of an area evolves through time as rock units are deposited and inserted and deformational processes change their shapes and locations,3
rock units are first emplaced either by deposition onto the surface or intrude into the overlying rock,3
deposition can occur when sediments settle onto the surface of the earth and later lithify into sedimentary rock or when as volcanic material such as volcanic ash or lava flows blanket the surface,3
igneous intrusions such as batholiths laccoliths dikes and sills push upwards into the overlying rock and crystallize as they intrude,3
after the initial sequence of rocks has been deposited the rock units can be deformed and or metamorphosed,3
deformation typically occurs as a result of horizontal shortening horizontal extension or side to side strike slip motion,3
these structural regimes broadly relate to convergent boundaries divergent boundaries and transform boundaries respectively between tectonic plates,3
earth is estimated to have formed billion years ago from the solar nebula along with the sun and other planets,3
the moon formed roughly million years later,3
initially molten the outer layer of the earth cooled resulting in the solid crust,3
outgassing and volcanic activity produced the primordial atmosphere,3
condensing water vapor most or all of which came from ice delivered by comets produced the oceans and other water sources,3
the highly energetic chemistry is believed to have produced a self replicating molecule around billion years ago,3
continents formed then broke up and reformed as the surface of earth reshaped over hundreds of millions of years occasionally combining to make a supercontinent,3
roughly million years ago the earliest known supercontinent rodinia began to break apart,3
the continents later recombined to form pannotia which broke apart about million years ago then finally pangaea which broke apart about million years ago,3
during the neoproterozoic era freezing temperatures covered much of the earth in glaciers and ice sheets,3
this hypothesis has been termed the snowball earth and it is of particular interest as it precedes the cambrian explosion in which multicellular life forms began to proliferate about million years ago,3
since the cambrian explosion there have been five distinctly identifiable mass extinctions,3
the last mass extinction occurred some million years ago when a meteorite collision probably triggered the extinction of the non avian dinosaurs and other large reptiles but spared small animals such as mammals,3
over the past million years mammalian life diversified,3
several million years ago a species of small african ape gained the ability to stand upright,3
the subsequent advent of human life and the development of agriculture and further civilization allowed humans to affect the earth more rapidly than any previous life form affecting both the nature and quantity of other organisms as well as global climate,3
by comparison the great oxygenation event produced by the proliferation of algae during the siderian period required about million years to culminate,3
the present era is classified as part of a mass extinction event the holocene extinction event the fastest ever to have occurred,3
some such as e o wilson of harvard university predict that human destruction of the biosphere could cause the extinction of one half of all species in the next years,3
the extent of the current extinction event is still being researched debated and calculated by biologists,3
the earth s atmosphere is a key factor in sustaining the ecosystem,3
the thin layer of gases that envelops the earth is held in place by gravity,3
air is mostly nitrogen oxygen water vapor with much smaller amounts of carbon dioxide argon etc,3
the atmospheric pressure declines steadily with altitude,3
the ozone layer plays an important role in depleting the amount of ultraviolet uv radiation that reaches the surface,3
as dna is readily damaged by uv light this serves to protect life at the surface,3
the atmosphere also retains heat during the night thereby reducing the daily temperature extremes,3
terrestrial weather occurs almost exclusively in the lower part of the atmosphere and serves as a convective system for redistributing heat,3
ocean currents are another important factor in determining climate particularly the major underwater thermohaline circulation which distributes heat energy from the equatorial oceans to the polar regions,3
these currents help to moderate the differences in temperature between winter and summer in the temperate zones,3
also without the redistributions of heat energy by the ocean currents and atmosphere the tropics would be much hotter and the polar regions much colder,3
weather can have both beneficial and harmful effects,3
extremes in weather such as tornadoes or hurricanes and cyclones can expend large amounts of energy along their paths and produce devastation,3
surface vegetation has evolved a dependence on the seasonal variation of the weather and sudden changes lasting only a few years can have a dramatic effect both on the vegetation and on the animals which depend on its growth for their food,3
climate is a measure of the long term trends in the weather,3
various factors are known to influence the climate including ocean currents surface albedo greenhouse gases variations in the solar luminosity and changes to the earth s orbit,3
based on historical records the earth is known to have undergone drastic climate changes in the past including ice ages,3
the climate of a region depends on a number of factors especially latitude,3
a latitudinal band of the surface with similar climatic attributes forms a climate region,3
there are a number of such regions ranging from the tropical climate at the equator to the polar climate in the northern and southern extremes,3
weather is also influenced by the seasons which result from the earth s axis being tilted relative to its orbital plane,3
thus at any given time during the summer or winter one part of the earth is more directly exposed to the rays of the sun,3
this exposure alternates as the earth revolves in its orbit,3
at any given time regardless of season the northern and southern hemispheres experience opposite seasons,3
weather is a chaotic system that is readily modified by small changes to the environment so accurate weather forecasting is limited to only a few days,3
overall two things are happening worldwide temperature is increasing on the average and regional climates have been undergoing noticeable changes,3
water is a chemical substance that is composed of hydrogen and oxygen h o and is vital for all known forms of life,3
in typical usage water refers only to its liquid form or state but the substance also has a solid state ice and a gaseous state water vapor or steam,3
water covers of the earth s surface,3
on earth it is found mostly in oceans and other large bodies of water with of water below ground in aquifers and in the air as vapor clouds and precipitation,3
oceans hold of surface water glaciers and polar ice caps and other land surface water such as rivers lakes and ponds,3
additionally a minute amount of the earth s water is contained within biological bodies and manufactured products,3
an ocean is a major body of saline water and a principal component of the hydrosphere,3
approximately of the earth s surface an area of some million square kilometers is covered by ocean a continuous body of water that is customarily divided into several principal oceans and smaller seas,3
more than half of this area is over meters feet deep,3
average oceanic salinity is around parts per thousand ppt and nearly all seawater has a salinity in the range of to ppt,3
though generally recognized as several separate oceans these waters comprise one global interconnected body of salt water often referred to as the world ocean or global ocean,3
this concept of a global ocean as a continuous body of water with relatively free interchange among its parts is of fundamental importance to oceanography,3
the major oceanic divisions are defined in part by the continents various archipelagos and other criteria these divisions are in descending order of size the pacific ocean the atlantic ocean the indian ocean the southern ocean and the arctic ocean,3
smaller regions of the oceans are called seas gulfs bays and other names,3
there are also salt lakes which are smaller bodies of landlocked saltwater that are not interconnected with the world ocean,3
two notable examples of salt lakes are the aral sea and the great salt lake,3
a lake from latin word lacus is a terrain feature or physical feature a body of liquid on the surface of a world that is localized to the bottom of basin another type of landform or terrain feature that is it is not global and moves slowly if it moves at all,3
on earth a body of water is considered a lake when it is inland not part of the ocean is larger and deeper than a pond and is fed by a river,3
the only world other than earth known to harbor lakes is titan saturn s largest moon which has lakes of ethane most likely mixed with methane,3
it is not known if titan s lakes are fed by rivers though titan s surface is carved by numerous river beds,3
natural lakes on earth are generally found in mountainous areas rift zones and areas with ongoing or recent glaciation,3
other lakes are found in endorheic basins or along the courses of mature rivers,3
in some parts of the world there are many lakes because of chaotic drainage patterns left over from the last ice age,3
all lakes are temporary over geologic time scales as they will slowly fill in with sediments or spill out of the basin containing them,3
a pond is a body of standing water either natural or man made that is usually smaller than a lake,3
a wide variety of man made bodies of water are classified as ponds including water gardens designed for aesthetic ornamentation fish ponds designed for commercial fish breeding and solar ponds designed to store thermal energy,3
ponds and lakes are distinguished from streams via current speed,3
while currents in streams are easily observed ponds and lakes possess thermally driven micro currents and moderate wind driven currents,3
these features distinguish a pond from many other aquatic terrain features such as stream pools and tide pools,3
a river is a natural watercourse usually freshwater flowing towards an ocean a lake a sea or another river,3
in a few cases a river simply flows into the ground or dries up completely before reaching another body of water,3
small rivers may also be called by several other names including stream creek brook rivulet and rill there is no general rule that defines what can be called a river,3
many names for small rivers are specific to geographic location one example is burn in scotland and north east england,3
sometimes a river is said to be larger than a creek but this is not always the case due to vagueness in the language,3
a river is part of the hydrological cycle,3
water within a river is generally collected from precipitation through surface runoff groundwater recharge springs and the release of stored water in natural ice and snowpacks i e from glaciers,3
a stream is a flowing body of water with a current confined within a bed and stream banks,3
in the united states a stream is classified as a watercourse less than feet metres wide,3
streams are important as conduits in the water cycle instruments in groundwater recharge and they serve as corridors for fish and wildlife migration,3
the biological habitat in the immediate vicinity of a stream is called a riparian zone,3
given the status of the ongoing holocene extinction streams play an important corridor role in connecting fragmented habitats and thus in conserving biodiversity,3
